Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,Twitter ID
Rolls-Royce Holdings,22.492,20.973,-3.202,40.573,733,Industrials,Aerospace & Defense,Europe,United Kingdom,United Kingdom,David Arthur,http://www.forbes.com/companies/rolls-royce-holdings/,-0.0789194784709043,-0.15267248366948,@RollsRoyce
Liberty Global,22.369,13.02,-0.373,53.154,764,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,United Kingdom,Michael Fries,http://www.forbes.com/companies/liberty-global/,-0.0070173458253377,-0.0286482334869432,@libertyglobal
SSE,14.961,30.077,0.31,32.314,797,Utilities,Electric Utilities,Europe,United Kingdom,United Kingdom,Alistair CA,http://www.forbes.com/companies/sse/,0.00959336510490809,0.0103068790105396,@SSE
Ferguson,16.196,21.571,0.909,10.751,815,Materials,Construction Materials,Europe,United Kingdom,United Kingdom,John Martin,http://www.forbes.com/companies/ferguson/,0.0845502743930797,0.0421399100644384,@fergusoncc
Evraz Group,12.524,12.838,2.411,9.373,829,Materials,Iron & Steel,Europe,United Kingdom,United Kingdom,Alexander Frolov,http://www.forbes.com/companies/evraz-group/,0.257228208684519,0.187801838292569,No Twitter
Mylan,13.845,11.428,0.353,32.735,969,Health Care,Pharmaceuticals,Europe,United Kingdom,United Kingdom,Heather Bresch,http://www.forbes.com/companies/mylan/,0.0107835649915992,0.0308890444522226,No Twitter
Centrica,7.838,39.583,0.244,28.088,1004,Utilities,Natural Gas Utilities,Europe,United Kingdom,United Kingdom,Iain Conn,http://www.forbes.com/companies/centrica/,0.00868698376530903,0.0061642624358942,@centricaplc
En+ Group Plc Sponsored GDR RegS,4.571,12.378,0.967,21.282,1016,,,Europe,United Kingdom,United Kingdom,Vladimir Kiryukhin,http://www.forbes.com/companies/en-plus-group-plc-sponsored-gdr-regs/,0.0454374588854431,0.0781224753595088,No Twitter
J Sainsbury,6.537,38.9,0.362,29.395,1044,Consumer Staples,Food Retail,Europe,United Kingdom,United Kingdom,Michael Coupe,http://www.forbes.com/companies/j-sainsbury/,0.0123150195611499,0.00930591259640103,@sainsburys
Investec,6.315,5.962,0.716,73.206,1067,Financials,Investment Services,Europe,United Kingdom,United Kingdom,Stephen Koseff,http://www.forbes.com/companies/investec/,0.00978061907493921,0.120093928212009,@Investec
Melrose Industries Plc,12.426,11.474,-0.633,25.133,1070,Financials,Consumer Financial Services,Europe,United Kingdom,United Kingdom,Christoper Miller,http://www.forbes.com/companies/melrose-industries-plc/,-0.0251860104245414,-0.0551682063796409,No Twitter
Technipfmc,11.006,12.556,-1.922,25.004,1079,Energy,Oil Services & Equipment,Europe,United Kingdom,United Kingdom,Douglas Pferdehirt,http://www.forbes.com/companies/technipfmc/,-0.0768677011678131,-0.153074227460975,@TechnipFMC
Mondi,10.901,8.824,0.973,9.193,1105,Materials,Paper & Paper Products,Europe,United Kingdom,United Kingdom,Peter Oswald,http://www.forbes.com/companies/mondi/,0.105841401066029,0.110267452402539,@mondigroup
3i Group,13.671,0.59,2.043,10.923,1184,Financials,Investment Services,Europe,United Kingdom,United Kingdom,Simon Borrows,http://www.forbes.com/companies/3i-group/,0.187036528426257,3.46271186440678,@3iplc
Phoenix Group Holdings,6.699,-9.14,0.489,283.13,1218,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,Clive Bannister,http://www.forbes.com/companies/phoenix-group-holdings/,0.00172712181683326,-0.0535010940919037,@PhoenixGroupUK
Ashtead Group,13.292,5.679,0.984,10.788,1239,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,United Kingdom,Geoffrey Drabble,http://www.forbes.com/companies/ashtead-group/,0.0912124582869855,0.173269941891178,No Twitter
RSA Insurance Group,7.315,9.358,0.447,22.953,1262,Financials,Property & Casualty Insurance,Europe,United Kingdom,United Kingdom,Stephen Hester,http://www.forbes.com/companies/rsa-insurance-group/,0.0194745784864724,0.0477666167984612,@rsagroup
Johnson Matthey,8.651,19.828,0.448,6.602,1266,Materials,Diversified Chemicals,Europe,United Kingdom,United Kingdom,Robert MacLeod,http://www.forbes.com/companies/johnson-matthey/,0.0678582247803696,0.0225943110752471,@Johnson_Matthey
Bunzl,10.296,12.107,0.435,7.145,1337,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,United Kingdom,Frank van Zanten,http://www.forbes.com/companies/bunzl/,0.0608817354793562,0.0359296274882299,@BunzlPlc
IHS Markit,21.99,4.124,0.411,16.383,1358,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,United Kingdom,Lance Uggla,http://www.forbes.com/companies/ihs-markit/,0.025086980406519,0.0996605237633366,@IHSMarkit
Segro,9.445,0.457,1.417,11.677,1371,Financials,Real Estate,Europe,United Kingdom,United Kingdom,David Sleath,http://www.forbes.com/companies/segro/,0.121349661728184,3.10065645514223,@SEGROplc
Smith & Nephew,16.41,4.904,0.666,8.059,1377,Health Care,Medical Equipment & Supplies,Europe,United Kingdom,United Kingdom,Namal Nawana,http://www.forbes.com/companies/smith-nephew/,0.082640526119866,0.135807504078303,@SmithNephewPLC
St. James's Place,7.686,-1.63,0.231,120.666,1383,Financials,Investment Services,Europe,United Kingdom,United Kingdom,Andrew Croft,http://www.forbes.com/companies/st-jamess-place/,0.00191437521754264,-0.141717791411043,@sjpwealth
Barratt Developments,8.118,6.692,0.972,8.543,1384,Industrials,Construction Services,Europe,United Kingdom,United Kingdom,David Thomas,http://www.forbes.com/companies/barratt-developments/,0.113777361582582,0.145248057381949,@Barrattplc
Persimmon,9.713,4.984,1.182,5.924,1407,Industrials,Construction Services,Europe,United Kingdom,United Kingdom,Jeff Fairburn,http://www.forbes.com/companies/persimmon/,0.199527346387576,0.237158908507223,@PersimmonHomes
Next,10.315,5.524,0.783,3.698,1435,Consumer Discretionary,Department Stores,Europe,United Kingdom,United Kingdom,Simon Wolfson,http://www.forbes.com/companies/next/,0.211736073553272,0.141745112237509,@nextofficial
Wm Morrison Supermarkets,6.891,23.509,0.323,13.044,1435,Consumer Staples,Food Retail,Europe,United Kingdom,United Kingdom,David Potts,http://www.forbes.com/companies/wm-morrison-supermarkets/,0.0247623428396197,0.0137394189459356,@Morrisons
Antofagasta,12.941,4.747,0.498,14.103,1484,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,Iván Herrera,http://www.forbes.com/companies/antofagasta/,0.0353116358221655,0.104908363176743,@AntofagastaPLC
Micro Focus International,10.271,3.17,0.523,16.781,1496,Information Technology,Software & Programming,Europe,United Kingdom,United Kingdom,Stephen Murdoch,http://www.forbes.com/companies/micro-focus-international/,0.0311661998688994,0.164984227129338,@MicroFocus
Kingfisher,7.259,15.489,0.289,13.154,1504,Consumer Discretionary,Home Improvement Retail,Europe,United Kingdom,United Kingdom,Véronique Laury-Deroubaix,http://www.forbes.com/companies/kingfisher/,0.0219705032689676,0.0186584027374266,@kingfisherplc
Taylor Wimpey,8.108,5.443,0.876,6.694,1552,Industrials,Construction Services,Europe,United Kingdom,United Kingdom,Peter Redfern,http://www.forbes.com/companies/taylor-wimpey/,0.130863459814759,0.160940657725519,@TaylorWimpey
Quilter,3.696,-3.125,0.264,81.037,1626,,,Europe,United Kingdom,United Kingdom,Paul Feeney,http://www.forbes.com/companies/quilter/,0.0032577711415773,-0.08448,@Quilter
Whitbread,11.319,3.638,0.589,6.535,1663,Consumer Discretionary,Restaurants,Europe,United Kingdom,United Kingdom,Alison Brittain,http://www.forbes.com/companies/whitbread/,0.0901300688599847,0.161902144035184,@WhitbreadPLC
Cybg,4.056,1.715,-0.234,56.669,1714,Financials,Regional Banks,Europe,United Kingdom,United Kingdom,David Duffy,http://www.forbes.com/companies/cybg/,-0.00412924173710494,-0.136443148688047,@VirginMoney
Atlassian,24.415,1.119,-0.426,2.875,1737,Information Technology,Software & Programming,Europe,United Kingdom,United Kingdom,Michael Cannon-Brookes,http://www.forbes.com/companies/atlassian/,-0.148173913043478,-0.380697050938338,@Atlassian
United Utilities,7.278,2.387,0.497,16.805,1819,Utilities,Diversified Utilities,Europe,United Kingdom,United Kingdom,Steven Mogford,http://www.forbes.com/companies/united-utilities/,0.0295745313894674,0.208211143695015,@unitedutilities
Informa plc,12.99,3.16,0.277,13.966,1844,Consumer Discretionary,Printing & Publishing,Europe,United Kingdom,United Kingdom,Stephen Carter,http://www.forbes.com/companies/informa/,0.0198338822855506,0.0876582278481013,@InformaPLC
Marks & Spencer,5.968,14.166,0.039,9.672,1879,Consumer Discretionary,Department Stores,Europe,United Kingdom,United Kingdom,Steve Rowe,http://www.forbes.com/companies/marks-spencer/,0.00403225806451613,0.00275307073274036,@marksandspencer
Dixons Carphone,2.255,14.161,-0.462,9.062,1880,Consumer Discretionary,Specialty Stores,Europe,United Kingdom,United Kingdom,Alexander Baldock,http://www.forbes.com/companies/dixons-carphone/,-0.0509821231516222,-0.032624814631735,@currysplc
Royal Mail,3.368,13.811,0.128,9.195,1890,Industrials,Air Courier,Europe,United Kingdom,United Kingdom,Rico Hermann,http://www.forbes.com/companies/royal-mail/,0.0139206090266449,0.00926797480269351,@RoyalMail
Sensata Technologies Holding,8.413,3.505,0.599,6.798,1909,Information Technology,Electronics,Europe,United Kingdom,United Kingdom,Thomas Wroe,http://www.forbes.com/companies/sensata-technologies-holding/,0.0881141512209473,0.170898716119829,@Sensata
EasyJet,6.277,7.928,0.481,9.122,1912,Industrials,Airline,Europe,United Kingdom,United Kingdom,Johan Lundgren,http://www.forbes.com/companies/easyjet/,0.0527296645472484,0.0606710393541877,@easyJet
Thomas Cook Group,0.488,12.882,-0.219,8.566,1928,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,United Kingdom,Peter Fankhauser,http://www.forbes.com/companies/thomas-cook-group/,-0.0255661919215503,-0.0170004657661854,No Twitter
Land Securities Group,8.774,1.121,-0.234,18.675,1949,Financials,Real Estate,Europe,United Kingdom,United Kingdom,Robert Noel,http://www.forbes.com/companies/land-securities-group/,-0.0125301204819277,-0.208742194469224,@LandsecGroup
Burberry Group,10.743,3.615,0.447,2.786,1961,Consumer Discretionary,Apparel/Accessories,Europe,United Kingdom,United Kingdom,Marco Gobbetti,http://www.forbes.com/companies/burberry-group/,0.160445082555635,0.123651452282158,@Burberry
Berkeley Group Holdings,6.44,3.69,0.878,6.091,1969,Industrials,Construction Services,Europe,United Kingdom,United Kingdom,Robert Perrins,http://www.forbes.com/companies/berkeley-group-holdings/,0.144147102282055,0.237940379403794,@BerkeleyGroupUK
Inchcape,3.429,12.37,0.064,6.032,1969,Consumer Discretionary,Specialty Stores,Europe,United Kingdom,United Kingdom,Stefan Bomhard,http://www.forbes.com/companies/inchcape/,0.0106100795755968,0.00517380759902991,@InchcapeUK
Daily Mail & General Trust,1.988,1.917,0.927,3.512,1986,Consumer Discretionary,Printing & Publishing,Europe,United Kingdom,United Kingdom,Paul Zwillenberg,http://www.forbes.com/companies/daily-mail-general-trust/,0.263952164009112,0.483568075117371,@DMGTplc
TP ICAP,2.072,2.367,0.043,32.493,1990,Financials,Investment Services,Europe,United Kingdom,United Kingdom,Nicolas Breteau,http://www.forbes.com/companies/tp-icap/,0.00132336195488259,0.0181664554288128,@TPICAPGroupPLC
